max_facilities,iterations,solution_stability,hypervolume,price_of_robustness,optimality_gap,coefficient_of_variation
3,8000,0.663859,0.655632,0.983292,1.725626,0.022046
3,16000,0.84103,0.673752,0.994584,0.52404,0.012315
3,32000,0.945794,0.691544,0.99842,0.148673,0.005839
3,64000,0.99,0.703765,0.999722,0.026167,0.002503
5,8000,0.626437,0.692721,0.985955,2.581489,0.035009
5,16000,0.900502,0.728722,0.998822,0.413691,0.013273
5,32000,0.98202,0.678527,0.999881,0.057345,0.004098
5,64000,1.0,0.663468,1.0,0.0,0.0
10,8000,0.667614,0.739844,0.98631,1.976105,0.022929
10,16000,0.803794,0.835012,0.997571,0.79943,0.010785
10,32000,0.847529,0.85192,0.999463,0.543298,0.008079
10,64000,0.888199,0.845254,0.999859,0.401258,0.007517
