12-96-|42 1.743304
0-48-|72 6.276325
20-|2 4.527973
23-|79 4.083314
65-86-|49 0.929330
44-|83 3.597297
11-|56 3.244323
96-|17 2.778228
10-27-|3 2.803311
39-|33 1.798747
0-25-|62 3.428876
0-2-|37 1.496222
|0 12.181230
0-28-|79 0.433332
9-|97 0.573348
0-1-|66 0.745800
22-|81 2.407485
19-|48 0.524152
0-20-|6 1.141273
19-45-|9 2.116652
3-78-|30 4.946238
17-93-|53 4.018732
15-56-|59 1.825392
43-|17 2.778228
|63 2.935203
84-|29 2.564338
0-92-|15 7.124659
1-74-|59 1.825392
0-76-|90 0.469777
10-48-|23 1.141815
0-95-|4 4.150756
0-73-|75 3.556631
0-48-|56 3.873328
9-12-|93 0.579003
9-52-|75 3.556631
14-|17 2.778228
3-22-|53 7.874913
0-66-|56 3.873328
0-59-|40 0.560642
25-77-|18 1.763259
0-|96 1.006434
21-|54 1.956216
22-69-|77 3.061072
0-56-|67 2.738388
0-71-|30 0.155924
13-30-|1 6.802482
8-46-|31 1.000504
0-71-|83 0.334551
9-|17 3.472783
0-38-|33 1.606004
99-|24 0.065667
17-|35 2.444091
76-88-|36 2.835347
48-74-|48 0.000000
0-83-|67 0.384451
0-42-|87 2.450074
98-|66 0.596640
0-|69 4.693128
13-97-|56 1.607203
2-80-|88 1.723777
14-|83 5.896181
46-|33 2.249965
0-61-|98 2.618865
0-56-|93 0.715151
64-98-|39 0.647119
0-99-|18 3.223694
16-35-|76 3.192677
15-56-|26 1.404832
0-71-|7 1.366874
0-48-|66 0.347352
0-55-|10 4.117596
16-79-|99 4.241494
49-|60 1.462769
56-95-|56 0.000000
0-1-|48 0.655190
33-50-|75 4.283717
24-42-|99 2.181138
4-40-|72 4.099061
0-2-|75 2.538095
0-22-|48 0.524152
52-|51 0.047964
50-|6 1.164071
30-67-|73 1.357193
33-|73 0.586811
30-60-|77 0.294753
83-|22 3.618501
82-|96 0.807415
5-82-|82 0.000000
3-22-|30 4.946238
82-|38 2.566335
4-|91 1.699795
0-1-|87 2.311080
4-85-|57 2.132867
98-|96 0.807415
0-96-|77 4.747692
56-91-|90 0.469777
74-85-|7 1.366874
52-|21 0.862036
0-|92 0.840314
29-|16 4.391217
0-21-|65 1.256580
82-94-|88 0.779176
61-66-|23 1.141815
0-69-|99 1.735957
0-83-|61 2.260585
0-18-|32 1.311185
13-86-|10 1.968758
37-|40 1.244614
19-63-|82 4.405310
25-|75 3.556631
43-79-|87 2.168947
0-37-|26 2.568455
0-9-|21 0.862036
6-22-|6 0.000000
0-40-|5 2.963936
30-60-|56 1.953586
58-79-|86 0.520963
8-|15 7.136077
59-88-|86 3.123854
60-|9 2.055859
10-|58 2.774661
1-69-|88 0.691154
44-97-|57 1.692266
50-57-|74 1.781093
0-34-|88 1.019160
17-81-|86 3.550171
12-|44 4.548111
51-|41 3.712977
62-|54 2.347459
41-|57 2.132867
76-|82 2.678350
|38 7.433365
26-|38 7.349338
75-|25 1.451707
35-88-|84 6.281220
5-33-|1 7.715589
0-25-|41 2.971333
27-32-|63 2.180272
33-|44 3.638489
39-|68 1.174607
0-72-|10 1.704479
8-50-|49 0.797273
80-90-|12 1.614091
0-6-|29 3.913468
21-38-|33 1.802856
0-46-|16 4.456637
0-79-|60 1.367302
35-|88 1.443981
2-4-|32 1.816927
63-77-|45 1.289175
0-72-|46 2.948127
0-76-|59 1.346229
10-44-|50 4.409505
5-62-|1 8.978546
26-77-|99 3.620813
92-|29 3.913468
22-|0 12.181230
50-89-|23 1.141815
8-90-|15 5.708861
36-54-|55 0.763528
26-40-|15 5.708861
0-11-|90 0.582524
52-56-|22 2.479885
76-80-|72 1.714522
0-97-|68 1.409529
98-|20 5.953119
61-|66 0.596640
28-47-|66 0.596640
0-83-|45 1.183681
0-92-|56 4.841660
0-80-|89 3.734564
65-|78 0.348189
93-|87 2.450074
86-93-|99 0.722862
0-67-|84 2.166169
24-|2 7.964351
0-55-|33 1.284819
|78 1.622318
19-45-|57 1.427897
0-12-|75 4.445789
0-5-|2 8.296199
19-82-|74 0.244784
0-39-|90 0.469777
58-|9 2.549265
89-94-|63 0.000000
0-89-|58 3.332459
25-85-|76 3.358989
13-97-|9 1.084745
9-|55 0.889421
0-1-|63 2.894357
0-7-|88 1.434234
78-94-|38 4.295683
36-75-|25 1.451707
55-64-|74 3.080838
70-99-|26 2.568455
34-75-|42 1.743304
0-12-|73 1.258848
28-88-|58 2.701383
37-|27 4.163347
12-44-|59 2.190470
0-71-|69 0.746597
0-66-|39 0.058862
6-|26 2.568455
0-|57 2.534216
63-88-|26 3.082146
0-72-|26 2.544605
55-84-|45 0.698600
10-44-|7 1.703929
54-|36 3.624211
